tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
"В МИД Литвы отреагировали на требование о выдаче Тихановской.

«Белорусскому режиму мы можем сказать — скорее ад за… ", Я вижу как горящие пердаки ябатек тока накаляют атмосферу в преисподней ) шах и мат )," ""Lithuania does not extradite people undergoing political prosecution""

🇱🇹 💞 ⬜️🟥⬜️

Just like the election r… "," Прошу прощения, а кто на фото?"," «Скорее ад замёрзнет». Спасибо, теперь это моя любимая фраза ❤️", 🤝✊💙💙💙🇪🇺🇪🇺🇪🇺✌️✌️💙💙🇪🇺🇪🇺," Кто-нибудь скажет этому придурку, что ада не существует."," Там до него пухлый какой то чудик был. Тож мрого чего квакал. 
Лукашенко фсе. Никто грузопоток не повернпт и… ", Дзякуй🤍♥️🤍🇱🇹 Lietuva,"  Традиционно восхищаюсь балтийцами. Молодцы. Европа страшно пострадала в МВ2, но она не жила под… "," Как только в Литве отключат отопление Светлана Тихановская вернётся на родину

Сказано очень дипломатично", Да похер! Пусть Светку откармливают сами. Она всё равно тупая и не понимает что она всего лишь разменная мон… ," Ай, какой прекрасный ответ! Просто замечательный.", тогда специально для Литвы," На следующий день: Лукашенко подписал указ о замораживании ада

Пресс-секретарь Лукашенко Наталья Эйсмонт от… "," ответ, которого лукашисты достойны"," Ботов нагнали уже))) ну ничего, в ЗВР ресурсов на 3 дня осталось, скоро нечем будет оплачивать"," пора возвратить Вильно на Родину, в Беларусь"," А кто спрашивать будит, Как барин скажет из за моря так и будит."," А как Литва может реагировать,если Тихоновская все делает по их указке?"," 1) Не выдают со статусом беженца, но и возвратиться этот человек сам не может

2) Не перестанут мешать ""режи… "," А это чучело не в курсе что в Аду есть не только наказания огнём, но и холодом и льдом, например, Ледяное оз… "," Да ваще без проблем, РБ уберет полностью транзит товаров, и пусть сидят в своей Литве. Лимитрофы блин."," Эта цветастая фраза звучит на простом языке, в недалёком будущем вам придётся Светлана собрать чемоданы..."," Притча. Один человек встретил монаха и просил:
- Откуда идёшь, странник?
Странник ответил:
- Из Ада.
- И что… ", Бацяры бачу ўжо гарэзяць? Літва- пердаларазрывальная), Большой знаток условий в аду? :)," В понедельник, значит, отправят",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Тихановская созвонилась с гендиректором Yara International и призвала к давлению на Беларуськалий.… , молодец! правильная тактика!!," 👑 Ms. President Elect 👍
Keep pressure on Yara International

", Дура бл.," Моя жена вчера звонила в оон, мус и еспч для блокировки Беларуськалия
Обещали разобраться"," Она хоть понимает ,что скоро ее фамилия станет нарицательной ,как мазепа или иуда.", Тупенькая бабёнка поговорила с автоответчиком.😂," Одно не понятно. Почему в Беларуси до сих пор нет подразделений, которые достают таких людей в любой точке м… ", Цікава паглядзець на вынікі," ТУТ одни дегенераты в комментариях.что будет с ними при нормальной власти?в концлагерь—нельзя,не гуманно.переживаю.", Ботаферма гіцае не на жарт тут. Гараць сракі - аж палаюць.," Чучело с кем то может созвониться🤣?  Тутки, вы как обычно, родили очередной высер."," А если надавят и белкалий станет потеряв контракт, то она будет платить рабочим и скидывать деньги в бюджет?… ", Ведьму пора на нары определять!!!, Коллектив беларуськалия будет ей благодарен по гроб(её)," Шо, без давления на Калий швабода не вытанцовывается?", С ее английским и отрицательным IQ я думаю что директор нихера не понял. На крайняк пиццу заказал., А старуха Шапокляк продолжает «заботиться» о белорусах!, Что она может сказать? Марионетка в руках запада. Горемычная.," Подумайте, 
почему Тихановская не обратилась в правительство Литвы с требованием запретить транзит?

Ведь эт… ", Трубку-то подняли или как обычно?.., Ну дура дурой.," Я тоже позвонил и призвал к дальнейшей работе. Вот и посмотрите что на него больше подействует, бешенство… "," Молодец, Светлана!", Беглая каторжница призвала...," не сработает. по той причине, что европа прекрасно видит что будет при отказе. а будет как с лднр, когда уго… ", Почему она не требует запрета транзита и перевалки грузов через Литву?, Не поможет! Полагаю судьба уже решена.," А он такой: ""дадада, будем рубить сук, на котором сидим""", чем больше такой движухи тем лучше,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Студенты Белорусского государственного технологического университета развесили листовки на стенах вуза — как напоми… , 63sJIUbc 👍, Гебремариам - эфиопка?,  ✊⬜️🟥⬜️, Да не кто не хочет учится на чужих ошибках., Стращают значит. Работают на режим, Училась здесь😊 Горжусь!,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Юноша, совращенный 25-летней учительницей, требует компенсацию в суде.

Больше 700 тысяч долларов за секс.… ", Раньше в 13 лет в брак вступали., Ну и лох. Я бы дальше тусовался," Вот,вот.", Охуел совсем, Фамилия не Шурыгин случайно?, Куда катится этот мир?, Дорогие услуги у юноши. Далеко пойдет," Где были мои совратительницы, когда я в школе учился?"," Ну конечно, пока он ее жарил и она ему сосала все было офигенно. Потом под давлением родителей и органов юве… "," Не юноша, а ребёнок, не за секс, а за преступление. Хорошо, что тутки не СМИ."," Ну это надо быть больной на голову, чтобы додуматься заняться сексом с 13 летним собственным учеником 🤦‍♂️"," Кликбейт. Это не он потребовал, а его родители, пацан тр*хал бы и дальше.", Niccce!, Вот шлюха!, Раздел LadyTutBy пробивает все новное дно... ну что за кликбейт уровня деревенских журналов из кисока..., Какой продвинутый юноша!😸,  Южный парк на все случаи жизни, Козел," Я очень уважаю вашу работу. Но подумайте, пожалуйста, о том как выбираете своих фотографии. Это просто ужас и кликбейт.", Бляяааа!!! кому свой секс за 700 штук продать 😯?!!! Училка конечно отожгла🔥😃, Родители подсуетились," Дорого он оценил свои ""умения""... 🤣🤣🤣", Красиво делает. И потрахался и деньги получил," хорошо что у нас в Беларуси за такое еще бы доплатили, а не в суд подавали :))", вот ведь сука какая, Ля крыса,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Опыт мамы, чей сын отказался ходить в детский сад.

«Нам не удавалось даже одеть ребенка». 

 ", антисистемньій ребёнок., у меня была такая же футболка) езлёная,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Посмотрите на суперзащищенный Samsung Galaxy XCover 5, который не боится падений, перепадов температур, воды и пыли… ", Говно," tft экран (((
на солнце не видно будет нормально
понятно что с амолед будет дороже но какой смысл в таком те… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Президент Бразилии призвал «не ныть» на фоне рекордной смертности от коронавируса.

 ", Психоз же ну," Это он прямо здорово помог, да", Ещё один плешивый ублюдок! «»,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Синоптики рассказали о погоде в выходные и 8 марта: мокрый снег, метели, гололедица и ночные морозы.… ", Ой всё!," Какая прелесть. Весна пришла.🥰
сарказм разумеется", снег падал на стекло чистым и становился грязным,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Бизнес-союз резко ответил на предложение МНС побороться с зарплатами в конвертах.

Не с того начали.… "," Латушка ж расказаў пра зарплату ў канвертах, цікава, ці аштрафуюць адміністрацыю прэзідэнта, альбо можа нава… "," Согласен, для вас это актуально. Более чем😁",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Жителя Новополоцка, который осенью отстоял БЧБ-флаг на своем балконе, недавно все же осудили.… "," 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Где искать «длинные» рублевые вклады под 19−20 процентов годовых?

 "," На дне белорусского чуда,  глубже Бикини Ботон", а смысл?, Скажите пожалуйста где искать деньги,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"15-летнего подростка, пропавшего во вторник в Минском районе, нашли.

 "," А написать, что нашли живым, жопа отвалится?",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Лукашенко освободил от должности своего помощника — инспектора по Минской области.

 ", Плохо помогал," ОСВОБОДИЛ от должности - это что, получается, он его до этого в плену держал?", На хуй идут, ,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Посольство США поддержало церковь «Новая жизнь», которую лишили здания.

 ", Недавно они Навального поддержали)," Ну как же без американцев? Все их беспокоит и всех им жалко. Вот сердобольный народ. Застрелили преступника,… "," 😆 Ну теперь с такой да поддержкой, ох как жизнь станет лучше)", Палят всех агентов ," Не церковь, а помойная секта по привлечению предателей Беларуси паскудить стране", Запад с нами!, Религия — опиум для народа., Сектантов вы хотели сказать?," Не церковь,а секта влияния.....", Американский дипломат выразил обеспокоенность....,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Так у зала суда близкие встречали волонтера штаба Бабарико Антона Беленского.

Поддержать Антона пришел и отец Мари… "," ""Приговор вступит в ЗАКОННУЮ силу..."" аж коробит от такой формулировки.",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Читатели пишут, что такой «плюшевый десант» появился на горе Дзержинской — самой высокой точке Беларуси (345 метров… ", Фееричные д...бы!," Хорош уже позорить страну. 
Люди не в теме, посмотрев такие ""новости"" будут думать, что в Беларуси повально… "," мяркую, складнік галоваў мядзведзікаў і неверагодных, якія іх туды прынеслі, досыць ідэнтычны.
еднасць. 
едн… "," Боты опять сели на бутылку и кончили)))) Приятно!
Раз выродков, ублюдков, мразей, гопоту, мусорню прикормлен… "," бля,вот же ебанутые..."," Мне кажется, или сзади на фото убегающий в сторону Польши макей в одних труханах?", занятая нечем ),  _99 плюшевый десант уже не тот!(," И на каждой плюшке бчб-тряпка коллаборантов. Феерично, йопта!", Ну да. Цветочками и мишками. Ага., Весной рэжыму хана... Это факт ☝️, Тутбаевцы постарались!," Да это же НАТОвское смертоносное подразделение 'зундер-плюхен-командос', мало им гусеницами лязгать под наши… "," Боты, к бою"," Бчбесы гадят везде, где только могут... ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Минчанки хотели обратиться к депутату, а попали на Окрестина.

«Дочка видела, как нас забирали. Всю ночь плакала».… "," Читайте не TUTBY арестовали за то что бедная мама пекла пироги для бабушки.

Сочетание наличия детей, пирого… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Волонтеру штаба Бабарико Антону Беленскому дали 1,5 года «химии».

 "," Читайте не TUTBY арестовали за то что бедная мама пекла пироги для бабушки.

Сочетание наличия детей, пирого… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Что происходило в феврале на валютном рынке?

Предприятия закупались валютой, население ушло в безнал.… ", А сбережения населения - ушли в (к)анал(изацию).," ""По итогам прошлого года безналичная покупка валюты населением превысила продажу на 1,822 млрд долларов."" ай… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Генпрокуратура направила в Литву запрос о выдаче Тихановской, а в суд — дело «о тайной вечере».… "," Яматка в бешенстве, говорят устроила истерику"," -Хто ""дапамог"" Ціханоўскай ""схавацца"" ў Літве? 
-Аграном! Ён сам пра гэта распавядаў не аднойчы! Яшчэ і грош… ", А как она оказалась в Литве? Кто ей помог там оказаться? Почему их не интересует этот вопрос?," Так Литва ж заранее показала дулю, не?", А инструкцию к губозакаточной машинке они уже прочитали?," Какая вечера в 10 утра?
Встреча группы по захвату зданий вы сравниваете с последней вечерей Христа?

То что… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Сможете назвать всех вратарей «Динамо» в КХЛ? 

Даем шесть минут!

 ", пусть идут нахуй," Наврятли их кто-то знает ! Хоккей не так уж и популярен в Беларуси, в основном это просто развлечение Лукаша… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"На проспекте Независимости в Минске ДТП: столкнулись не меньше трех авто.

 ", пусть идут нахуй," Наврятли их кто-то знает ! Хоккей не так уж и популярен в Беларуси, в основном это просто развлечение Лукаша… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Суд огласил приговор водителю, который прокатил на капоте гаишника: 10 лет колонии.

 "," Слушайте, а зачем вы Тихановской на аватарке усы пририсовали? Это просто хулиганство какое-то.", Надо пойти еще пофоткаться с ментами 🤦," Заграницей после такой х**ни многие политики и чиновники остались бы без работы, а менты бы сидели. У нас же… ", Поддерживаю! Можно было и больше дать.," Давайте дальше сидеть на жопах и говорить, как всё плохо, пока чел по этапу пойдёт. Или хоровод замутим?"," Что ещё нужно сделать власти, чтобы...
Хотя....", Мрази," Водитель полностью осознавал общественную опасность своих противоправных действий, направленных на лишение ж… ", Судя по комментариям где-то прорвало канализацию," Да, щедрые ребятишки трудятся в наших судах. Они, видимо, рассчитывают, что нынешний режим будет вечный. Так… "," Тутки вонючки, очень надеюсь, что вас будут так катать. А преступнику заслуженное наказание. Радуйтесь таком… "," Вот же мрази! Если народ не соберётся и не прогонит Лукаша, то тысячи невинных людей будут сидеть долгие год… "," Млять, не сбил, а прокатил на капоте!!! Вы совсем там 0)(₽енели?"," Человек, спасавший свою жизнь от извергов в масках, получает 10 лет. В этой стране самоборона - это особо тя… "," Захотите покататься, проститутки, пишите в ЛС. Привезу баян. Под баянчик!", нормально так.," Просто ахенно. Ему надо было оставаться  там и ждать, пока ему кости перехерачат? Человек защищал свою жизнь от бандитов"," коллектив тутбай уже давным-давно должен был шить рукавицы, по статьям, связанным с угрозе суверенитету госу… ", ПроститеТУТки что бы вас с Золотовой так катали на копоте до конца дней, На требование остановится совершил  умышленый наезд на сотрудников милиции обвинён по  ст. 14 (Покушение на… , Норм," Не суд, а судилище😡", Отлично! Хороший срок!,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Золотовалютные резервы в феврале продолжили снижение: долги и спрос на валюту.

 "," - Шеф, у нас дыра в резервах!
- Ну хоть что-то у нас есть в резервах.",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Мария Колесникова стала лауреатом премии за мужество Госдепа США.

 ", А зачем ей премия в сизо? В ларьке отовариваться?, Понятно от куда руки растут," И где те, кто смеялся над словами Лукашенко, о центрах управления и источниках финансирования этих анальных… ", Заслуживает уважения!,"   а вы специально написали ""госдеп"", а не ""гос. департамент"", чтобы мемнее смотрелось?"," Спасибо, братья"," это фейк - слово ""мужество"" сексистское, в США неприемлемо.
радфемки, предлагайте свой вариант названия прем… ", премия за мужество Госдепа США 🤣, За заслуги перед метрополией?, А Лосик? Лосику опять ничего не обломилось? Вот же суки....Человек даже голодал., А почему сумма премии не оглашается? Top secret?😁," Это наверное для того что бы развеять у суда сомнения о работе на вероятного противника, и связях с Госдепом. "," Теперь Путин должен Трампа наградить, что бы убрать подозрения "," То чувство, когда противник ракеты которого нацелены на твой дом, награждает своего агента "," А ботов-то под новостью, как собак ))
У них на определение слова и сочетания вроде «госдеп», «сша», «ес», «д… ", Пусть на счёт Беларусбанка переведут., 👍, Надеюсь Маша выберит вместо приза - санкции, На пятую точку хоть кг золота повесь Колесникова! Была ты грязной девкой с майдановским штампом и останешься… , Свои люди... ," то что она выглядит как мужик не дает ей никаких преимуществ при выдвижении на премию, имхо.", Госдеп США? Я прям вижу сюжет для БТ🤣," Легализуют наличман? Это хорошо, значит другие каналы патиху перекрываются😁"," хозяева наградили, а мы посадим",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"18-летнюю фигурантку дела о беспорядках в Бресте, которая скрывалась, задержали — и отправили под стражу.… ", Ну и зачем вернулась?..., А с какой страны она вернулась?," Читайте на TUTBY о суде в Бресте: 
Среди обвиняемых  многодетный отец, несовершеннолетний учащийся колледжа,… ", Опять какой-то пиздец подвезли," 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Посмотрите, какой получилась свадьба у бедной пары с 6 детьми (они годами собирали мусор).

 ", Это точно белорусы?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Собрали варианты подарков из техники на 8 Марта — от робота-пылесоса до смартфона.

 "," робот-пылесос преподносить в качестве подарка на 8 марта, ну камон",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Носкевич: С лета 2020 года возбуждено 2407 уголовных дел экстремистской направленности.

 "," Так в ООН говорили что не больше 200-400 недовольных на весь Минск, не?)"," Я проста не магу ўявіць, колькі справаў будзе ўзбуджана за здраду і дзяржаўны тэрарызм... тысячы і тысячы “к… ","  Странная закономерность наблюдается, в Беларуси число ""экстремистов"" растёт обратно пропорцио… "," Медаль этому работяге.
Посмертно.", Нахуй идет идет этот носок мусорской, И при этом ни одного за преступления..., 2407 fictional stories have been written., Мразь," Вопрос: как следственный комитет допустил такого всплеска ""экстремизма"" в одной из самых безопасных стран Европы?"," Директор ФБР США: ""Расследуются более 2000 уголовных дел по случаям внутреннего терроризма""", Звучит двусмысленно.," 20 ""наркоманов"" и ""проституток"" у ""математиков"" все множатся в геометрической прогрессии."," І 0 спраў антыгенацыднай накіраванасці супраць прадстаўнікоў хунты, на хвіліначку. Амаль не паляцца.", лучше бы на женщин возбуждались. мусарню не понять. как может добровольно нравится жить в казарме и ходить с… , В США 70 млн. американцев объявили экстремистами ," Кругом одни экстремисты. Ну да, ну да",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Смотрите, какие шикарные дома продаются рядом с Минском.

 ", дом нужно рубить самому по заветам предков,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
